OPEID6,INSTNM,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT4_048_PUB,NPT4_3075_PUB,COSTT4_A,income_midpoints
1002.0,Alabama A & M University,14205.0,14526.0,16532.0,20139.0,17539.0,14306.0,15098.0,23167.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1052.0,University of Alabama at Birmingham,14620.0,15130.0,17379.0,20045.0,19342.0,14795.0,16242.0,26257.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1055.0,University of Alabama in Huntsville,13902.0,15703.0,18802.0,20880.0,20467.0,14627.0,17524.0,25777.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1005.0,Alabama State University,13066.0,13738.0,13505.0,14414.0,15590.0,13258.0,13665.0,21900.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1051.0,The University of Alabama,17942.0,19931.0,21867.0,23680.0,23931.0,18570.0,20826.0,31024.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1007.0,Central Alabama Community College,7232.0,6749.0,9895.0,11020.0,11738.0,7069.0,8266.0,14041.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
8310.0,Auburn University at Montgomery,10873.0,12501.0,15041.0,15724.0,14069.0,11309.0,13662.0,19771.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1009.0,Auburn University,17481.0,19356.0,23336.0,26709.0,28876.0,18143.0,21582.0,33650.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
12182.0,Chattahoochee Valley Community College,1980.0,3857.0,5612.0,7759.0,8615.0,2479.0,4426.0,9320.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1015.0,Enterprise State Community College,1838.0,2694.0,4561.0,7744.0,7738.0,2044.0,3663.0,9452.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1060.0,Coastal Alabama Community College,5700.0,6405.0,8905.0,12032.0,11706.0,5888.0,7450.0,14446.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1020.0,Jacksonville State University,16020.0,17323.0,19932.0,21717.0,22020.0,16374.0,18474.0,22153.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1022.0,Jefferson State Community College,5515.0,6316.0,8757.0,12082.0,13340.0,5736.0,7445.0,14677.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1013.0,John C Calhoun State Community College,4850.0,6256.0,7896.0,9874.0,10912.0,5237.0,6959.0,11532.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1059.0,Lawson State Community College,3354.0,4123.0,6494.0,9796.0,7387.0,3520.0,4842.0,14471.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1024.0,University of West Alabama,12558.0,13369.0,16129.0,15553.0,15705.0,12732.0,14889.0,22456.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1026.0,Marion Military Institute,9058.0,8608.0,6681.0,11841.0,11826.0,8894.0,7965.0,18368.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1004.0,University of Montevallo,14118.0,15751.0,18840.0,19922.0,20009.0,14605.0,17349.0,26185.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
5697.0,Northwest-Shoals Community College,849.0,1568.0,5611.0,8422.0,8612.0,996.0,3458.0,10919.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1016.0,University of North Alabama,7922.0,7731.0,11233.0,14536.0,13484.0,7858.0,9579.0,21621.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1031.0,Northeast Alabama Community College,637.0,123.0,2321.0,6138.0,9660.0,499.0,1234.0,9660.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1038.0,Snead State Community College,6428.0,6573.0,8734.0,11946.0,10704.0,6470.0,7388.0,12800.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1057.0,University of South Alabama,12411.0,13521.0,18330.0,21388.0,22574.0,12783.0,15832.0,22667.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1047.0,Troy University,13911.0,14307.0,15892.0,15949.0,15573.0,14046.0,15074.0,22005.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
11462.0,University of Alaska Anchorage,6450.0,9746.0,12476.0,16796.0,19569.0,7456.0,11081.0,23461.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1063.0,University of Alaska Fairbanks,5742.0,5012.0,9676.0,13915.0,14500.0,5455.0,7023.0,19814.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1065.0,University of Alaska Southeast,3778.0,4097.0,5507.0,11910.0,11367.0,3924.0,4399.0,17471.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1081.0,Arizona State University Campus Immersion,8088.0,10194.0,15137.0,18632.0,20466.0,8858.0,12482.0,26937.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1083.0,University of Arizona,11240.0,12651.0,14785.0,18520.0,20230.0,11785.0,13641.0,27682.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
7283.0,Central Arizona College,5794.0,5435.0,7523.0,8723.0,9582.0,5691.0,6479.0,11627.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1072.0,Cochise County Community College District,6396.0,6847.0,9181.0,11814.0,12971.0,6482.0,7729.0,12971.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1073.0,Eastern Arizona College,5577.0,6312.0,7465.0,10517.0,11548.0,5776.0,6930.0,15230.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1076.0,Glendale Community College,9765.0,10211.0,12179.0,14710.0,16231.0,9923.0,11022.0,16231.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
8303.0,GateWay Community College,11696.0,11616.0,15507.0,15848.0,14463.0,11671.0,12944.0,17711.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
1077.0,Mesa Community College,11062.0,11758.0,13346.0,15329.0,17056.0,11284.0,12396.0,17128.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
11864.0,Mohave Community College,4398.0,5730.0,7786.0,9477.0,10730.0,4665.0,6596.0,11230.0,"[15000, 39000, 61500, 92500, 150000, 24000, 52500]"
